plantId,slug,nomecien,imagemurl,cresc_forma,cresc_taxa,ph_max,ph_min,luz_solar,solo_nutrientes,solo_salinidade,solo_textura,solo_umidade,nome_pop
270,cerastium-glomeratum,Cerastium glomeratum,https://bs.plantnet.org/image/o/2de203e7843a584e782c42c15d10a73c75a38594,null,null,6.5,5.5,7,6,0,-1,-1,Colchico
271,geum-rivale,Geum rivale,https://bs.plantnet.org/image/o/51a60a1c4c23fc015f4b73c33e1bd052de07cca0,Single Crown,Moderate,7,4.8,5,7,0,-1,-1,Geum-dos-ribeiros
272,helianthemum-nummularium,Helianthemum nummularium,https://bs.plantnet.org/image/o/9b5a51e6e81b92d17a8d56eaa2feeaa17a51f2b4,null,null,7.5,7,7,3,0,-1,-1,Soltos-dos-montes
273,sagina-procumbens,Sagina procumbens,https://bs.plantnet.org/image/o/d88a2fe293c58692a9abc9e1f1b95d2bc2dce399,null,null,7,6.5,8,7,1,-1,-1,Sagina-procumbens
274,glyceria-maxima,Glyceria maxima,https://bs.plantnet.org/image/o/d79246c1097483983c1086d2eb6806f69784b453,null,null,8,7.5,8,9,0,-1,-1,Glicerínia-maior
275,carex-pilulifera,Carex pilulifera,https://bs.plantnet.org/image/o/7f264aebf5d0c4e9abcb589af8c4061e0cad804e,null,null,-1,-1,-1,-1,-1,-1,-1,Carriço-dos-pinheirais
276,lysimachia-nummularia,Lysimachia nummularia,https://bs.plantnet.org/image/o/c55ab9cd667f67f58f588f9647b3a3c6ce70ef10,null,null,6.5,5.5,5,6,0,-1,-1,Lysimachia-nummularia
277,trifolium-campestre,Trifolium campestre,https://bs.plantnet.org/image/o/0ad9750769ea4ca25f7ec9bc377500cb29c9498f,null,null,5.5,5,8,3,0,-1,-1,Trevo-dos-campos
278,linum-catharticum,Linum catharticum,https://bs.plantnet.org/image/o/0942e56c53f5816e0a69b7b93991a4e18c8643f7,null,null,7.5,7,8,4,1,-1,-1,Linho-purging
279,galium-odoratum,Galium odoratum,https://bs.plantnet.org/image/o/d7727794d160def0035e055f1ca7e5770ff85149,null,null,6.5,5.5,3,5,0,-1,-1,Gailho-cheiroso
280,viola-palustris,Viola palustris,https://bs.plantnet.org/image/o/78dfd2dfdf44a49ae1d5e683b7116cdd4c9d9349,null,null,-1,-1,-1,-1,-1,-1,-1,Violeta-dos-pântanos
281,avenella-flexuosa,Avenella flexuosa,https://bs.plantnet.org/image/o/c205d8f96773c1435b7c08297b32600c390134a2,Bunch,Moderate,6.8,4.8,5,3,0,-1,-1,Avenela-flexuosa
282,alopecurus-geniculatus,Alopecurus geniculatus,https://bs.plantnet.org/image/o/b58ae48abbd36b58afb2bc86bf5d110e1ce8f682,null,null,-1,-1,-1,-1,-1,-1,-1,Alopecurus-geniculatus
283,scirpus-sylvaticus,Scirpus sylvaticus,https://bs.plantnet.org/image/o/3416afe9f5a912c2ed2d5efa76aad5a47a31ccad,null,null,-1,-1,-1,-1,-1,-1,-1,Scirpo-dos-bosques
284,luzula-pilosa,Luzula pilosa,https://bs.plantnet.org/image/o/9cb9318cfa543c5c0afadfa891ecb070365419c7,null,null,5.5,5,4,4,0,-1,-1,Luzula-pilosa
285,veronica-beccabunga,Veronica beccabunga,https://bs.plantnet.org/image/o/fba8590ddadc2fc215eabb924bf3b148eb5b4c98,null,null,7.5,7,8,7,0,-1,-1,Verónica-dos-charcos
286,tragopogon-pratensis,Tragopogon pratensis,https://bs.plantnet.org/image/o/aa162208c0f7875b5021976a54cad5373939d904,null,null,7.5,7,8,6,0,-1,-1,Serralha-dos-prados
287,gymnadenia-conopsea,Gymnadenia conopsea,https://bs.plantnet.org/image/o/735993928fedf2a12e5f825f355500c27f8d98d8,null,null,-1,-1,-1,-1,-1,-1,-1,Gymnadenia-conopsea
288,medicago-sativa,Medicago sativa,https://bs.plantnet.org/image/o/3ba6922298db8f12f18bb86ea889f9bec4945a1d,Single Crown,Rapid,8.5,6,8,7,0,-1,-1,Luzerna
289,polygonatum-multiflorum,Polygonatum multiflorum,https://bs.plantnet.org/image/o/597c08b13a0d6e2310c2222379f9a31a88f301ed,null,null,6.5,5.5,4,5,0,-1,-1,Polígono-das-flores-muitas
290,circaea-lutetiana,Circaea lutetiana,https://bs.plantnet.org/image/o/5a03b533f6d8c1aa229b71b8f5273536eb3a78e4,null,null,7,6.5,4,6,0,-1,-1,Circaea-lutetiana
291,juncus-inflexus,Juncus inflexus,https://bs.plantnet.org/image/o/fdd15af4a2cd48c33daa9b90c8f03b1475e4451d,null,null,8,7.5,8,6,0,-1,-1,Junco-inflexo
292,anacamptis-pyramidalis,Anacamptis pyramidalis,https://bs.plantnet.org/image/o/971c811387922f8d13bc201f0bf99e18d459ebf3,null,null,9,8,8,3,0,-1,-1,Orquídea-piramidal
293,clinopodium-vulgare,Clinopodium vulgare,https://bs.plantnet.org/image/o/6fcd0a6d4bb0d9820058367623b1de926b2cdbb0,null,null,7.5,7,6,4,0,-1,-1,Orégão-silvestre
294,rhinanthus-minor,Rhinanthus minor,https://bs.plantnet.org/image/o/9ab8fce77d55d70504949c6ed2c4ff6ea4888f31,Bunch,Moderate,7.5,7,8,3,0,-1,-1,Rinanto-menor
295,eriophorum-vaginatum,Eriophorum vaginatum,https://bs.plantnet.org/image/o/1af072ca4763709ba18dad9b223b27fb2c503352,null,null,4.5,4,7,1,0,-1,-1,Eriophorum-vaginatum
296,carex-leporina,Carex leporina,https://bs.plantnet.org/image/o/90abcb39d696743a35ed60f2e1dd37191b8021a4,null,null,-1,-1,-1,-1,-1,-1,-1,Carriço-do-coelho
297,sambucus-racemosa,Sambucus racemosa,https://bs.plantnet.org/image/o/6707389a8a79a18058e32596b33de7fcf78db034,null,null,5.5,5,5,5,0,-1,-1,Sabugueiro-dos-pântanos
298,dactylorhiza-maculata,Dactylorhiza maculata,https://bs.plantnet.org/image/o/5020139795629b65e83a58529623a7515b9b9f45,null,null,6.5,5.5,7,2,0,-1,-1,Orquídea-maculada
299,galium-album,Galium album,https://bs.plantnet.org/image/o/a2e44d8cde184936e2c0b170387852519b59bb38,null,null,-1,-1,-1,-1,-1,-1,-1,Gailho
300,stachys-palustris,Stachys palustris,https://bs.plantnet.org/image/o/51cdbee45af01150db1d9cdf840a84a61f196065,Rhizomatous,Moderate,8,5.7,7,6,0,-1,-1,Betónica-dos-pântanos
301,sparganium-erectum,Sparganium erectum,https://bs.plantnet.org/image/o/fb0c45bd3746f52e633fb0d75f39d30ec036a1cc,null,null,7.5,7,8,7,0,-1,-1,Espargânia-ereta
302,betonica-officinalis,Betonica officinalis,https://d2seqvvyy3b8p2.cloudfront.net/7f997388413c6b50164618df549d60ac.jpg,null,null,6.5,5.5,6,3,0,-1,-1,Betônica
303,lavandula-stoechas,Lavandula stoechas,https://bs.plantnet.org/image/o/798c2baab24169a6ccaebe97c855ac6d12577b08,null,null,5,4.5,8,3,0,-1,-1,Lavanda
304,dipsacus-fullonum,Dipsacus fullonum,https://bs.plantnet.org/image/o/c4aaf549bca48b5784a77b540fa36da25ab20a37,null,null,-1,-1,-1,-1,-1,-1,-1,Cardo-de-cardadores
305,menyanthes-trifoliata,Menyanthes trifoliata,https://bs.plantnet.org/image/o/15df5471839c0b1d04a2c89f45519ebea6724845,Rhizomatous,Moderate,6.5,4.8,7,3,0,-1,-1,Três-folhas
306,sisymbrium-officinale,Sisymbrium officinale,https://bs.plantnet.org/image/o/23dacbf7d60736e26515c1fa32a61334d6cf68c2,null,null,7.5,7,8,7,0,-1,-1,Mostarda-silvestre
307,maianthemum-bifolium,Maianthemum bifolium,https://bs.plantnet.org/image/o/81d2719c25c00f8885f137bbcdf85e9b9185afb3,null,null,5,4.5,4,2,0,-1,-1,Falso-lírio-do-vale
308,agrostis-canina,Agrostis canina,https://bs.plantnet.org/image/o/d38fdf8c9bb8e454f8ddcaa5949d6375e6783b5e,null,null,-1,-1,-1,-1,-1,-1,-1,Capim-para-cães
309,euphorbia-helioscopia,Euphorbia helioscopia,https://bs.plantnet.org/image/o/f55807fe9a475f6ca4a6c2ea79cedc99e501fd5c,null,null,7.5,7,8,7,0,-1,-1,Eufórbia-cabra-leiteira
310,ulmus-glabra,Ulmus glabra,https://bs.plantnet.org/image/o/636f4ad2e9d6f9b4684369217b92a8dd891ee355,null,null,6.5,5.5,7,6,0,-1,-1,Olmo-comum
311,phaseolus-vulgaris,Phaseolus vulgaris,https://bs.plantnet.org/image/o/522abc68dfd3f04b6c08effce88776bbea9810b8,null,null,7,6.5,8,7,0,-1,-1,Feijão
312,ulex-europaeus,Ulex europaeus,https://bs.plantnet.org/image/o/1448e4c05ae7d38af77e552e2e2929413afc9a23,null,null,5.5,5,8,3,0,-1,-1,Tojo
313,carex-arenaria,Carex arenaria,https://bs.plantnet.org/image/o/8fc7cbaed5fa6195f527c355d66a19c813cdef99,null,null,-1,-1,-1,-1,-1,-1,-1,Cariosa-arenária
314,erigeron-annuus,Erigeron annuus,https://bs.plantnet.org/image/o/6ca945386171048df4d6c6686ddb8cd021350758,Single Crown,Moderate,7.5,7,8,7,0,-1,-1,Verbasco
315,trifolium-arvense,Trifolium arvense,https://bs.plantnet.org/image/o/6207d4137b76d8320cf3eaa7e1df082d1e506c1f,null,null,-1,-1,-1,-1,-1,-1,-1,Trevo-dos-campos
316,epilobium-palustre,Epilobium palustre,https://bs.plantnet.org/image/o/e707f41325d5c0ce4e32b39e0e6a052dc67a1fa5,null,null,5,4.5,8,3,0,-1,-1,Epilóbio-dos-pântanos
